Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Libya,Eastern Mediterranean,502040,7306.341,24,0.349,0,6430,93.578,0,0,0
Cyprus,Europe,491777,55379.981,1814,204.278,0,1067,120.157,8,0.901,0
Ethiopia,Africa,475012,413.185,2565,2.231,0,7515,6.537,2,0.002,0
Honduras,Americas,425471,4295.688,358,3.614,0,10900,110.05,1,0.01,0
Armenia,Europe,423006,14275.147,43,1.451,0,8625,291.067,0,0,0
Réunion,Africa,416661,46538.078,2046,228.524,0,784,87.567,7,0.782,0
Oman,Eastern Mediterranean,389473,7626.817,0,0,0,4260,83.421,0,0,0
Bosnia and Herzegovina,Europe,377998,11521.466,110,3.353,12,15791,481.313,4,0.122,3
Qatar,Eastern Mediterranean,370235,12850.683,1716,59.562,306,677,23.498,0,0,0
Kenya,Africa,325554,605.442,695,1.293,0,5651,10.509,0,0,0
Zambia,Africa,322207,1752.653,704,3.829,0,3988,21.693,3,0.016,0
North Macedonia,Europe,312292,14989.68,454,21.792,135,9309,446.822,1,0.048,0
Botswana,Africa,306696,13041.864,0,0,0,2695,114.602,0,0,0
Albania,Europe,276415,9605.08,294,10.216,12,3497,121.516,0,0,0
Algeria,Africa,265897,606.364,20,0.046,0,6875,15.678,0,0,0
Nigeria,Africa,256148,124.259,120,0.058,0,3148,1.527,5,0.002,0
Zimbabwe,Africa,253397,1704.893,999,6.721,0,5512,37.086,9,0.061,0
Luxembourg,Europe,249319,39820.446,1384,221.048,0,1079,172.334,1,0.16,0
Uzbekistan,Europe,239141,714.511,113,0.338,6,1637,4.891,0,0,0
Montenegro,Europe,237558,37823.973,414,65.917,26,2720,433.078,0,0,0
Kosovo[1],Europe,228354,12716.953,44,2.45,0,3129,174.253,0,0,0
Mauritius,Africa,226851,17837.451,0,0,0,996,78.316,0,0,0
Mozambique,Africa,225968,722.972,259,0.829,0,2204,7.052,1,0.003,0
Lao People's Democratic Republic,Western Pacific,210083,2887.517,108,1.484,2,756,10.391,0,0,0
Kyrgyzstan,Europe,200993,3080.734,0,0,0,2991,45.845,0,0,0
Iceland,Europe,188924,51883.098,734,201.574,0,153,42.017,0,0,0
Afghanistan,Eastern Mediterranean,180741,464.291,478,1.228,53,7709,19.803,6,0.015,0
Maldives,South-East Asia,179837,33269.632,50,9.25,0,299,55.315,1,0.185,0
Martinique,Americas,172883,46069.577,5367,1430.189,0,942,251.023,4,1.066,0
Uganda,Africa,164366,359.341,0,0,0,3602,7.875,0,0,0
Namibia,Africa,164298,6466.121,682,26.841,0,4039,158.959,1,0.039,0
El Salvador,Americas,163735,2524.357,980,15.109,0,4133,63.72,1,0.015,1
Trinidad and Tobago,Americas,162849,11636.327,1641,117.257,93,3938,281.389,26,1.858,6
Guadeloupe,Americas,162190,40534.934,1827,456.608,0,949,237.176,1,0.25,0
Ghana,Africa,161795,520.694,314,1.011,0,1445,4.65,0,0,0
Brunei Darussalam,Western Pacific,150781,34465.883,2386,545.398,379,162,37.03,0,0,0
Jamaica,Americas,139029,4695.075,1953,65.954,287,3074,103.81,18,0.608,0
Cambodia,Western Pacific,136262,815.015,0,0,0,3056,18.279,0,0,0
Rwanda,Africa,130197,1005.21,140,1.081,0,1459,11.264,0,0,0
Cameroon,Africa,119947,451.848,0,0,0,1930,7.27,0,0,0
Angola,Africa,99761,303.536,0,0,0,1900,5.781,0,0,0
Malta,Europe,95272,18515.092,629,122.239,62,723,140.507,2,0.389,0
Democratic Republic of the Congo,Africa,89189,99.584,0,0,0,1338,1.494,0,0,0
Senegal,Africa,86135,514.425,26,0.155,0,1967,11.748,1,0.006,0
Malawi,Africa,86001,449.562,23,0.12,0,2642,13.811,2,0.01,0
French Guiana,Americas,83671,28013.406,719,240.724,0,397,132.917,0,0,0
Côte d’Ivoire,Africa,82305,312.018,111,0.421,0,799,3.029,0,0,0
Barbados,Americas,81427,28334.754,1103,383.819,108,462,160.766,16,5.568,0
Suriname,Americas,80547,13730.414,131,22.331,0,1350,230.127,9,1.534,0
French Polynesia,Western Pacific,73014,25992.14,83,29.547,0,649,231.036,0,0,0
Eswatini,Africa,72688,6265.321,214,18.446,0,1410,121.535,3,0.259,0
Guyana,Americas,65272,8298.498,655,83.275,29,1238,157.396,5,0.636,0
Fiji,Western Pacific,65103,7262.353,96,10.709,41,864,96.381,0,0,0
Madagascar,Africa,64377,232.483,0,0,0,1395,5.038,0,0,0
Sudan,Eastern Mediterranean,62399,142.303,44,0.1,0,4942,11.27,0,0,0
New Caledonia,Western Pacific,62329,21831.677,321,112.435,0,313,109.633,0,0,0
Belize,Americas,59788,15036.164,739,185.852,0,678,170.511,1,0.251,0
Bhutan,South-East Asia,59636,7728.795,8,1.037,0,21,2.722,0,0,0
Mauritania,Africa,59183,1272.846,56,1.204,0,982,21.12,0,0,0
Cabo Verde,Africa,56532,10167.864,208,37.411,0,402,72.304,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55899,319.411,7,0.04,1,3150,17.999,0,0,0
Jersey,Europe,50740,47070.392,49,45.456,0,129,119.67,0,0,0
Gabon,Africa,47677,2142.08,27,1.213,0,304,13.658,0,0,0
Papua New Guinea,Western Pacific,44638,498.914,157,1.755,0,651,7.276,0,0,0
Seychelles,Africa,44199,44941.889,141,143.37,0,167,169.807,0,0,0
Curaçao,Americas,43953,26785.42,331,201.715,0,277,168.807,0,0,0
Andorra,Europe,43067,55739.339,173,223.905,0,153,198.02,0,0,0
Burundi,Africa,42248,355.3,164,1.379,0,15,0.126,0,0,0
Guam,Western Pacific,41550,24618.575,283,167.679,0,365,216.264,2,1.185,1
Mayotte,Africa,37657,13803.127,76,27.858,0,187,68.545,0,0,0
Aruba,Americas,37352,34984.92,788,738.063,0,213,199.502,0,0,0
Togo,Africa,37131,448.511,42,0.507,0,273,3.298,0,0,0
Guinea,Africa,36764,279.94,0,0,0,442,3.366,0,0,0
Bahamas,Americas,34861,8864.98,148,37.636,0,810,205.979,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
United Republic of Tanzania,Africa,33928,56.798,0,0,0,803,1.344,0,0,0
Lesotho,Africa,33562,1566.671,17,0.794,0,699,32.629,0,0,0
Isle of Man,Europe,33098,38924.17,132,155.236,0,107,125.835,1,1.176,0
Mali,Africa,31110,153.623,13,0.064,0,735,3.629,1,0.005,0
Haiti,Americas,30892,270.922,0,0,0,835,7.323,0,0,0
Benin,Africa,26914,222.004,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26565,167.147,0,0,0,1361,8.563,0,0,0
Saint Lucia,Americas,26206,14271.322,523,284.817,63,371,202.04,0,0,0
Cayman Islands,Americas,25886,39388.314,1409,2143.944,0,28,42.605,0,0,0
Guernsey,Europe,25703,39869.393,124,192.343,0,47,72.904,0,0,0
Congo,Africa,24128,437.253,0,0,0,385,6.977,0,0,0
Timor-Leste,South-East Asia,22928,1739.018,13,0.986,1,131,9.936,0,0,0
Solomon Islands,Western Pacific,21237,3091.788,160,23.294,0,149,21.692,3,0.437,0
Burkina Faso,Africa,20899,99.98,0,0,0,384,1.837,0,0,0
United States Virgin Islands,Americas,20083,19231.985,551,527.651,0,113,108.212,0,0,0
Gibraltar,Europe,18560,55088.896,141,418.509,141,102,302.751,0,0,0
Grenada,Americas,17866,15877.643,204,181.296,0,230,204.403,4,3.555,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17630,157.499,13,0.116,0,138,1.233,0,0,0
Liechtenstein,Europe,17436,44999.613,0,0,0,83,214.21,0,0,0
San Marino,Europe,17124,50456.715,0,0,0,115,338.853,0,0,0
Equatorial Guinea,Africa,15924,1135.009,3,0.214,0,183,13.044,0,0,0
Djibouti,Eastern Mediterranean,15675,1586.538,0,0,0,189,19.13,0,0,0
Bermuda,Americas,15085,24223.982,330,529.925,0,138,221.605,0,0,0
Nicaragua,Americas,14538,219.456,30,0.453,0,239,3.608,1,0.015,0
Central African Republic,Africa,14371,297.551,0,0,0,113,2.34,0,0,0
Dominica,Americas,14295,19856.649,0,0,0,67,93.067,0,0,0
Samoa,Western Pacific,13924,7017.65,425,214.199,0,27,13.608,1,0.504,0
Monaco,Europe,12319,31390.786,133,338.905,13,57,145.245,0,0,0
Gambia,Africa,12002,496.634,0,0,0,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11822,39.637,0,0,0,2149,7.205,0,0,0
Tonga,Western Pacific,11784,11149.061,140,132.457,15,12,11.353,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11403,19811.665,70,121.619,37,34,59.072,0,0,0
Saint Martin,Americas,10726,27745.156,38,98.295,0,44,113.816,0,0,0
Sint Maarten,Americas,10353,24142.997,74,172.567,0,86,200.55,0,0,0
Vanuatu,Western Pacific,10239,3333.605,1189,387.114,122,14,4.558,0,0,0
Eritrea,Africa,9767,275.404,8,0.226,0,103,2.904,0,0,0
Niger,Africa,9031,37.308,0,0,0,310,1.281,0,0,0
Saint Vincent and the Grenadines,Americas,8807,7938.525,111,100.054,0,108,97.35,2,1.803,0
Bonaire,Americas,8594,41090.127,39,186.469,0,30,143.438,0,0,0
Antigua and Barbuda,Americas,8378,8555.178,259,264.477,0,138,140.918,0,0,0
Guinea-Bissau,Africa,8283,420.884,14,0.711,0,171,8.689,0,0,0
Comoros,Africa,8126,934.452,0,0,0,160,18.399,0,0,0
Sierra Leone,Africa,7682,96.302,0,0,0,125,1.567,0,0,0
Liberia,Africa,7456,147.419,0,0,0,294,5.813,0,0,0
Chad,Africa,7417,45.154,0,0,0,193,1.175,0,0,0
British Virgin Islands,Americas,6765,22373.251,0,0,0,62,205.047,0,0,0
American Samoa,Western Pacific,6192,11218.001,47,85.15,0,31,56.162,0,0,0
Turks and Caicos Islands,Americas,6148,15878.919,0,0,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,5982,2729.525,0,0,0,73,33.309,0,0,0
Saint Kitts and Nevis,Americas,5809,10920.815,90,169.198,4,43,80.839,0,0,0
Cook Islands,Western Pacific,5697,32435.664,40,227.739,0,1,5.693,0,0,0
Palau,Western Pacific,5083,28095.291,40,221.092,0,6,33.164,0,0,0
Saint Barthélemy,Americas,4614,46676.783,20,202.327,0,4,40.465,0,0,0
Anguilla,Americas,3294,21957.072,91,606.586,0,9,59.992,0,0,0
Kiribati,Western Pacific,3161,2646.318,63,52.742,63,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,2762,47661.777,12,207.075,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1717,49296.583,15,430.663,0,0,0,0,0,0
Montserrat,Americas,1003,20064.013,28,560.112,0,8,160.032,2,40.008,0
Sint Eustatius,Americas,924,29436.126,0,0,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,605,31298.5,8,413.864,0,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Micronesia (Federated States of),Western Pacific,34,29.559,4,3.478,3,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,18,30.408,1,1.689,0,0,0,0,0,0
Niue,Western Pacific,9,556.242,0,0,0,0,0,0,0,0
Nauru,Western Pacific,3,27.691,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,3,25.441,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
